Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,24.340000,24.690001,24.230000,24.590000,23.955679,6368200
2021-01-04,24.700001,24.940001,23.850000,24.110001,23.488066,8041600
2021-01-05,24.080000,24.719999,24.080000,24.459999,23.829033,7856500
2021-01-06,24.620001,25.379999,24.620001,24.959999,24.316137,8471800
2021-01-07,25.270000,25.799999,25.059999,25.750000,25.085758,9288400
2021-01-08,25.690001,25.940001,25.389999,25.530001,24.871435,7514100
2021-01-11,25.500000,25.930000,25.340000,25.780001,25.114988,8907000
2021-01-12,25.830000,26.150000,25.750000,25.910000,25.241632,7280700
2021-01-13,25.990000,26.040001,25.700001,25.709999,25.046791,6596600
2021-01-14,25.580000,25.930000,25.559999,25.620001,24.959112,8290500
2021-01-15,25.459999,25.570000,24.990000,25.170000,24.520720,8364600
2021-01-19,25.260000,25.379999,24.990000,25.139999,24.491493,6794200
2021-01-20,25.219999,25.320000,25.049999,25.200001,24.549950,6270500
2021-01-21,25.410000,25.440001,24.980000,25.360001,24.705820,7160000
2021-01-22,25.110001,25.350000,24.969999,25.270000,24.618141,6684500
2021-01-25,25.219999,25.270000,24.410000,25.020000,24.374590,9953100
2021-01-26,25.190001,25.360001,24.389999,24.620001,23.984911,11548300
2021-01-27,24.180000,25.240000,24.160000,24.850000,24.208975,12948600
2021-01-28,24.980000,25.350000,24.850000,24.870001,24.228460,9292900
2021-01-29,24.770000,24.990000,24.070000,24.340000,23.712133,14666900
2021-02-01,24.480000,24.580000,24.100000,24.480000,23.848520,9353000
2021-02-02,24.780001,25.000000,24.670000,24.889999,24.247944,5952800
2021-02-03,24.860001,25.340000,24.770000,25.230000,24.579172,6300500
2021-02-04,25.209999,25.959999,25.110001,25.950001,25.280602,6963400
2021-02-05,26.000000,26.580000,25.950001,26.150000,25.475441,7267500
2021-02-08,26.370001,27.360001,26.309999,27.299999,26.595774,8426300
2021-02-09,27.330000,27.549999,27.090000,27.090000,26.391191,7065500
2021-02-10,27.209999,27.530001,26.940001,27.150000,26.449644,6267500
2021-02-11,27.299999,27.480000,26.930000,27.379999,26.673712,6265600
2021-02-12,27.379999,27.500000,27.230000,27.490000,26.780874,3941200
2021-02-16,27.530001,27.680000,27.000000,27.160000,26.459387,6380700
2021-02-17,27.000000,27.080000,26.230000,26.280001,25.602087,9402800
2021-02-18,26.090000,26.450001,25.959999,26.410000,25.728733,7345300
2021-02-19,26.700001,27.139999,26.650000,27.100000,26.400934,8979600
2021-02-22,26.990000,27.350000,26.799999,27.120001,26.420420,9524800
2021-02-23,27.030001,27.440001,26.490000,27.379999,26.673712,11845500
2021-02-24,27.299999,28.260000,27.209999,27.969999,27.248491,8275900
2021-02-25,27.900000,30.000000,27.219999,28.190001,27.462818,18366000
2021-02-26,29.420000,30.250000,28.830000,28.969999,28.222698,26078200
2021-03-01,29.370001,30.440001,29.160000,29.580000,28.816961,17327800
2021-03-02,29.420000,30.290001,29.330000,30.040001,29.265097,10928600
2021-03-03,29.940001,30.280001,29.520000,29.820000,29.050772,10059700
2021-03-04,29.459999,29.850000,27.850000,28.070000,27.345913,14448400
2021-03-05,28.299999,29.780001,28.120001,29.750000,28.982576,13688900
2021-03-08,29.610001,30.680000,29.559999,30.160000,29.382000,13142600
2021-03-09,30.040001,30.559999,29.850000,30.100000,29.513390,10337000
2021-03-10,30.059999,30.570000,30.010000,30.260000,29.670269,11820400
2021-03-11,30.370001,30.480000,29.969999,30.340000,29.748713,10122500
2021-03-12,30.260000,30.830000,30.120001,30.280001,29.689880,9478300
2021-03-15,30.260000,30.809999,30.080000,30.790001,30.189943,12813700
2021-03-16,30.809999,30.980000,30.389999,30.430000,29.836956,10605200
2021-03-17,30.290001,30.790001,30.260000,30.740000,30.140915,12590100
2021-03-18,30.559999,31.110001,30.219999,30.309999,29.719296,11022700
2021-03-19,30.040001,30.320000,29.680000,30.080000,29.493778,49810500
2021-03-22,30.110001,30.719999,29.860001,30.469999,29.876177,14955000
2021-03-23,30.340000,30.570000,29.440001,29.580000,29.003521,10313100
2021-03-24,29.730000,30.260000,29.360001,29.370001,28.797615,9073900
2021-03-25,29.110001,30.020000,28.969999,29.889999,29.307480,9561200
2021-03-26,30.020000,31.690001,30.020000,31.660000,31.042986,13195700
2021-03-29,31.590000,31.940001,31.010000,31.070000,30.464483,9661500
2021-03-30,31.000000,31.660000,30.959999,31.559999,30.944933,7219500
2021-03-31,31.600000,32.119999,31.600000,31.750000,31.131229,8919000
2021-04-01,32.080002,32.139999,31.610001,32.049999,31.425385,7866900
2021-04-05,32.320000,32.619999,31.750000,32.459999,31.827394,6915200
2021-04-06,32.330002,32.570000,32.049999,32.290001,31.660709,8973300
2021-04-07,32.200001,32.669998,32.150002,32.279999,31.650898,6836800
2021-04-08,32.520000,32.689999,32.040001,32.380001,31.748955,7066500
2021-04-09,32.380001,32.990002,32.340000,32.980000,32.337257,6635300
2021-04-12,32.980000,33.180000,32.560001,32.740002,32.101940,7861600
2021-04-13,32.770000,33.090000,32.340000,33.040001,32.396091,9579700
2021-04-14,32.950001,33.610001,32.910000,33.200001,32.552975,7798500
2021-04-15,33.490002,33.820000,33.290001,33.619999,32.964787,7402600
2021-04-16,33.840000,34.270000,33.790001,33.980000,33.317772,7281600
2021-04-19,33.799999,34.040001,33.599998,33.700001,33.043232,7808600
2021-04-20,33.860001,34.029999,33.250000,33.369999,32.719658,8219500
2021-04-21,33.270000,34.009998,33.200001,33.900002,33.239334,6392100
2021-04-22,34.020000,34.299999,33.740002,33.770000,33.111862,7579700
2021-04-23,33.869999,34.610001,33.740002,34.419998,33.749195,6192800
2021-04-26,34.500000,34.849998,34.240002,34.330002,33.660950,5311400
2021-04-27,34.380001,34.700001,34.279999,34.430000,33.758999,6578900
2021-04-28,34.430000,34.490002,34.070000,34.320000,33.651142,6245600
2021-04-29,34.619999,34.869999,34.209999,34.700001,34.023739,7533400
2021-04-30,34.570000,34.610001,33.910000,34.110001,33.445240,8807800
2021-05-03,34.330002,34.639999,34.110001,34.480000,33.808029,6234900
2021-05-04,34.250000,34.380001,33.630001,33.959999,33.298164,8884100
2021-05-05,34.240002,34.689999,34.240002,34.450001,33.778610,5498700
2021-05-06,34.419998,35.000000,34.200001,34.980000,34.298283,5583900
2021-05-07,34.990002,35.590000,34.810001,35.570000,34.876785,6796400
2021-05-10,35.889999,36.000000,35.230000,35.250000,34.563023,7745900
2021-05-11,34.520000,34.599998,33.240002,33.590000,32.935375,11388800
2021-05-12,33.250000,33.369999,31.770000,31.950001,31.327333,12679900
2021-05-13,32.000000,32.650002,31.940001,32.389999,31.758757,10282600
2021-05-14,32.660000,33.189999,32.330002,32.919998,32.278427,7289600
2021-05-17,32.740002,33.130001,32.380001,33.040001,32.396091,8442400
2021-05-18,33.070000,33.070000,32.310001,32.340000,31.709734,7568100
2021-05-19,31.750000,31.870001,31.219999,31.799999,31.180256,10975200
2021-05-20,31.980000,32.209999,31.570000,32.040001,31.415581,7495100
2021-05-21,32.259998,32.439999,31.629999,31.660000,31.042986,8679900
2021-05-24,32.889999,32.889999,32.119999,32.310001,31.680317,8591600
2021-05-25,32.500000,32.799999,31.809999,31.860001,31.239088,9366000
2021-05-26,31.950001,32.189999,31.770000,32.169998,31.543045,10337500
2021-05-27,32.430000,32.520000,31.840000,32.099998,31.474409,24469000
2021-05-28,30.459999,30.590000,29.070000,29.230000,28.660343,36879400
2021-06-01,29.719999,29.969999,29.379999,29.860001,29.278065,15438700
2021-06-02,29.820000,30.180000,29.700001,29.780001,29.199625,11186100
2021-06-03,29.600000,30.090000,29.570000,29.930000,29.346701,8983200
2021-06-04,30.049999,30.809999,30.049999,30.629999,30.033058,11233700
2021-06-07,30.799999,30.889999,30.219999,30.549999,29.954618,9071500
2021-06-08,30.480000,30.590000,29.920000,30.420000,30.017771,10084900
2021-06-09,30.600000,30.600000,29.879999,30.049999,29.652662,12472800
2021-06-10,30.340000,30.450001,29.930000,29.969999,29.573721,7948000
2021-06-11,29.850000,30.200001,29.850000,30.080000,29.682266,11422000
2021-06-14,30.040001,30.120001,29.150000,29.389999,29.001389,12610900
2021-06-15,29.459999,29.730000,29.440001,29.590000,29.198746,8406000
2021-06-16,29.309999,29.559999,28.940001,29.030001,28.646151,12431900
2021-06-17,29.090000,29.250000,28.120001,28.639999,28.261307,12545500
2021-06-18,28.129999,28.740000,28.020000,28.670000,28.290911,25007000
2021-06-21,28.900000,29.480000,28.840000,29.209999,28.823771,9318400
2021-06-22,29.230000,29.270000,28.780001,29.139999,28.754696,8631800
2021-06-23,29.180000,29.510000,28.959999,29.200001,28.813904,7914000
2021-06-24,29.500000,29.510000,29.110001,29.469999,29.080332,6270700
2021-06-25,29.400000,29.920000,29.370001,29.709999,29.317158,17050100
2021-06-28,29.760000,30.030001,29.639999,29.809999,29.415836,6570000
2021-06-29,29.950001,30.320000,29.790001,30.139999,29.741472,7779100
2021-06-30,30.129999,30.280001,29.879999,30.190001,29.790812,7129200
2021-07-01,30.260000,30.469999,30.129999,30.350000,29.948696,7606500
2021-07-02,30.520000,30.809999,30.350000,30.700001,30.294069,6294700
2021-07-06,30.580000,30.650000,29.920000,30.180000,29.780943,7533400
2021-07-07,30.290001,30.500000,30.030001,30.280001,29.879623,7349900
2021-07-08,29.740000,30.190001,29.459999,29.920000,29.524382,6996800
2021-07-09,30.250000,30.469999,30.010000,30.040001,29.642796,10959100
2021-07-12,29.900000,29.930000,28.629999,29.209999,28.823771,14636600
2021-07-13,29.040001,29.070000,28.160000,28.190001,27.817257,13290500
2021-07-14,28.450001,28.850000,28.309999,28.590000,28.211967,7022000
2021-07-15,28.400000,28.490000,27.830000,28.100000,27.728447,10203100
2021-07-16,28.209999,28.370001,27.459999,27.520000,27.156116,7143000
2021-07-19,27.120001,27.799999,26.910000,27.590000,27.225191,12621200
2021-07-20,27.740000,28.670000,27.740000,28.209999,27.836992,13161300
2021-07-21,28.450001,28.639999,28.070000,28.520000,28.142895,11177700
2021-07-22,28.590000,28.639999,27.719999,27.799999,27.432413,8836700
2021-07-23,27.969999,28.410000,27.910000,28.200001,27.827126,8394700
2021-07-26,28.350000,28.809999,28.350000,28.480000,28.103422,5687600
2021-07-27,28.150000,28.410000,27.850000,28.400000,28.024481,9027000
2021-07-28,28.469999,28.670000,28.160000,28.469999,28.093554,5932900
2021-07-29,28.670000,28.980000,28.600000,28.780001,28.399456,6496400
2021-07-30,28.480000,28.980000,28.330000,28.870001,28.488268,6814500
2021-08-02,29.049999,29.480000,28.920000,29.139999,28.754696,8016500
2021-08-03,29.299999,29.650000,29.110001,29.530001,29.139540,8118100
2021-08-04,29.250000,29.580000,29.049999,29.070000,28.685619,6062600
2021-08-05,29.280001,29.360001,29.020000,29.230000,28.843504,4855100
2021-08-06,29.270000,29.690001,29.230000,29.320000,28.932316,5730800
2021-08-09,29.299999,29.559999,29.219999,29.320000,28.932316,5828400
2021-08-10,29.400000,29.940001,29.360001,29.730000,29.336893,7458700
2021-08-11,29.719999,30.379999,29.580000,30.100000,29.702003,5644800
2021-08-12,30.139999,30.480000,30.030001,30.400000,29.998035,5329400
2021-08-13,30.129999,30.160000,28.980000,29.010000,28.626415,11391800
2021-08-16,28.920000,29.530001,28.629999,29.440001,29.050730,7672800
2021-08-17,29.280001,29.299999,28.420000,28.680000,28.300779,8946000
2021-08-18,28.240000,28.799999,28.129999,28.219999,27.846861,8190300
2021-08-19,27.930000,28.120001,27.549999,27.780001,27.412680,9137800
2021-08-20,27.860001,28.350000,27.840000,28.219999,27.846861,7878800
2021-08-23,28.440001,28.670000,28.240000,28.559999,28.182365,6733600
2021-08-24,28.660000,28.990000,28.500000,28.900000,28.517868,6974000
2021-08-25,28.930000,29.740000,28.860001,29.389999,29.001389,11460300
2021-08-26,29.600000,29.629999,28.959999,29.100000,28.715225,12504100
2021-08-27,27.790001,29.100000,27.510000,28.920000,28.537603,23468100
2021-08-30,29.139999,30.230000,28.980000,29.740000,29.346762,13430400
2021-08-31,29.840000,30.360001,29.660000,29.740000,29.346762,14276400
2021-09-01,29.690001,29.799999,29.129999,29.219999,28.833637,11839800
2021-09-02,29.379999,29.750000,29.280001,29.600000,29.208614,8280900
2021-09-03,29.510000,30.030001,29.450001,29.860001,29.465176,8119600
2021-09-07,29.500000,29.580000,28.639999,28.650000,28.456053,11345800
2021-09-08,28.549999,28.620001,28.020000,28.190001,27.999166,9890000
2021-09-09,28.129999,28.520000,27.879999,28.209999,28.019030,7907700
2021-09-10,28.389999,28.580000,27.980000,28.000000,27.810453,7346300
2021-09-13,28.209999,28.469999,28.120001,28.379999,28.187880,8211300
2021-09-14,28.469999,28.469999,27.490000,27.559999,27.373430,6591300
2021-09-15,27.549999,28.080000,27.379999,27.950001,27.760792,7104500
2021-09-16,27.959999,28.190001,27.830000,28.040001,27.850183,6107400
2021-09-17,27.840000,27.950001,27.459999,27.680000,27.492619,13268800
2021-09-20,27.059999,27.299999,26.809999,27.240000,27.055597,8460700
2021-09-21,27.490000,27.510000,26.770000,26.830000,26.648373,8719100
2021-09-22,27.250000,27.770000,27.190001,27.590000,27.403229,7844300
2021-09-23,27.770000,28.230000,27.709999,27.980000,27.790588,6323200
2021-09-24,27.840000,28.190001,27.799999,27.889999,27.701197,4292900
2021-09-27,27.850000,28.980000,27.850000,28.709999,28.515646,8797800
